本来无一物，何处惹尘埃！|惠能|《菩提偈》
风雨送人来，风雨留人住。|游次公|《卜算子·风雨送人来》
长歌吟松风，曲尽河星稀。|李白|《下终南山过斛斯山人宿置酒》
南望亭丘，孤秀耸曾城。|苏轼|《江城子·梦中了了醉中醒》
魏王卧内藏兵符，子西掩袂真无辜。|柳宗元|《古东门行》
江上春山远，山下暮云长。|葛长庚|《水调歌头·江上春山远》
与君剩采江山景，裁取新诗入帝乡。|杜荀鹤|《冬末同友人泛潇湘》
只应是，金笳暗拍，一样泪沾衣。|纳兰性德|《满庭芳·堠雪翻鸦》
尾生与女子期于梁下，女子不来，水至不去，抱梁柱而死。||《庄子·杂篇·盗跖》
安得夫差水犀手，三千强弩射潮低。|苏轼|《八月十五日看潮五绝》
唯有相思似春色，江南江北送君归。|王维|《送沈子归江东 / 送沈子福之江东》
世间行乐亦如此，古来万事东流水。|李白|《梦游天姥吟留别 / 别东鲁诸公》
黄师塔前江水东，春光懒困倚微风。|杜甫|《江畔独步寻花·其五》
应念岭表经年，孤光自照，肝胆皆冰雪。|张孝祥|《念奴娇·过洞庭》
想当年，金戈铁马，气吞万里如虎。|辛弃疾|《永遇乐·京口北固亭怀古》
扬人恶　即是恶　疾之甚　祸且作||《弟子规·泛爱众》
门外苍官千百辈，尽堂堂八尺须髯古。|辛弃疾|《贺新郎·和徐斯远下第谢诸公载酒相访韵》
山净江空水见沙，哀猿啼处两三家。|韩愈|《答张十一功曹》
疆理虽重海，车书本一家。|温庭筠|《送渤海王子归本国》
出门一笑莫心哀，浩荡襟怀到处开。|林则徐|《赴戍登程口占示家人二首》
狂风落尽深红色，绿叶成阴子满枝。|杜牧|《怅诗》
白头太守真愚甚，满插茱萸望辟邪。|宋祁|《九日置酒》
忧心悄悄，愠于群小。|佚名|《柏舟》
一日不思量，也攒眉千度。|柳永|《昼夜乐·洞房记得初相遇》
君子处小人，必平其气以待之，不可稍形激切也。||《围炉夜话·第三三则》
父老四五人，问我久远行。|杜甫|《羌村》
日暖桑麻光似泼，风来蒿艾气如薰。|苏轼|《浣溪沙·软草平莎过雨新》
山抹微云，天连衰草，画角声断谯门。|秦观|《满庭芳·山抹微云》
剩得几行青史，斜阳下、断碣残碑。|纳兰性德|《满庭芳·堠雪翻鸦》
父在，观其志；父没，观其行；三年无改于父之道，可谓孝矣。||《论语·学而篇》
十二楼中尽晓妆，望仙楼上望君王。|薛逢|《宫词》
鱼丽于罶，鰋鲤。|佚名|《鱼丽》
近来何处有吾愁，何处还知吾乐。|辛弃疾|《念奴娇·赋雨岩》
玉人初上木兰时。懒妆斜立澹春姿。|吴文英|《浣溪沙·题李中斋舟中梅屏》
淅淅西风淡淡烟，几点疏疏雨。|葛立方|《卜算子·席间再作》
绿鬓朱颜重见两衰翁。|秦观|《江城子·南来飞燕北归鸿》
亭皋木叶下，原隰菊花黄。|蔡伸|《水调歌头·亭皋木叶下》
白云映水摇空城，白露垂珠滴秋月。|李白|《金陵城西楼月下吟》
天涯何处无芳草！墙里秋千墙外道。|苏轼|《蝶恋花·春景》
唯愿当歌对酒时，月光长照金樽里。|李白|《把酒问月·故人贾淳令予问之》
缁衣之好兮，敝予又改造兮。|佚名|《缁衣》
游说万乘苦不早，著鞭跨马涉远道。|李白|《南陵别儿童入京》
寒夜客来茶当酒，竹炉汤沸火初红。|杜耒|《寒夜》
映竹无人见，时闻下子声。|白居易|《池上二绝》
舍西柔桑叶可拈，江畔细麦复纤纤。|杜甫|《绝句漫兴九首》
记五湖、清夜推篷，临水一痕月。|吴文英|《暗香疏影·夹钟宫赋墨梅》
山高月小，水落石出|苏轼|《后赤壁赋》
抽弦促柱听秦筝，无限秦人悲怨声。|柳中庸|《听筝》
乌鹊倦栖，鱼龙惊起，星斗挂垂杨。|陈亮|《一丛花·溪堂玩月作》
博罗老仙时出洞，千岁石床啼鬼工。|李贺|《罗浮山父与葛篇》
远芳侵古道，晴翠接荒城。|白居易|《草 / 赋得古原草送别》
更值棠棣连阴，虎符熊轼，夹河分守。|李清照|《长寿乐·南昌生日》
何用别寻方外去，人间亦自有丹丘。|韩翃|《同题仙游观》
燕歌未断塞鸿飞，牧马群嘶边草绿。|李益|《塞下曲·其一》
但一抹、寒青有无中，遥山色。|赵鼎|《满江红·丁未九月南渡泊舟仪真江口作》
此阁几何高，何人之所营。|苏轼|《真兴寺阁》
高堂满地红氍毹，试舞一曲天下无。|岑参|《田使君美人舞如莲花北鋋歌》
悄无人、舟横野渡。|廖世美|《烛影摇红·题安陆浮云楼》
西家思妇见悲惋，零泪沾衣抚心叹。|鲍照|《拟行路难十八首》
夸愚适增累，矜智道逾昏。|陈子昂|《感遇诗三十八首·其十九》
但愿老死花酒间，不愿鞠躬车马前。|唐寅|《桃花庵歌》
太乙近天都，连山接海隅。|王维|《终南山》
此翁白头真可怜，伊昔红颜美少年。|刘希夷|《代悲白头翁》
夏桀之常违兮，乃遂焉而逢殃。|屈原|《离骚》
乳燕引雏飞力弱，流莺唤友娇声怯。|辛弃疾|《满江红·点火樱桃》
譬如朝露，去日苦多。|曹操|《短歌行》
君自故乡来，应知故乡事。|王维|《杂诗三首·其二》
比似茜裙初染、一般同。|刘铉|《乌夜啼·石榴》
夜深斜搭秋千索，楼阁朦胧烟雨中。|韩偓|《夜深 / 寒食夜》
采桑秦氏女，织锦窦家妻。|薛道衡|《昔昔盐》
缧囚终老无余事，愿卜湘西冉溪地。|柳宗元|《冉溪》
梦里轻螺谁扫，帘外落花红小。|纳兰性德|《谒金门·风丝袅》
此地一为别，孤蓬万里征。|李白|《送友人》
自有多情处，明月挂南楼。|米芾|《水调歌头·中秋》
采薇采薇，薇亦柔止。|佚名|《采薇》
名德不昭，毁谤无损其身；义仁莫名，奸邪不以为患。||《罗织经·保身卷第七》
出犯繁花露，归穿弱柳风。|温庭筠|《清明日》
大邦有子，伣天之妹。|佚名|《大明》
晚春盘马踏青苔，曾傍绿荫深驻。|晏几道|《御街行·街南绿树春饶絮》
杨柳青青著地垂，杨花漫漫搅天飞。|佚名|《送别诗》
胡能有定？报我不述。|佚名|《日月》
我本不弃世，世人自弃我。|李白|《送蔡山人》
粉黛暗愁金带枕，鸳鸯空绕画罗衣，那堪辜负不思归！|顾敻|《浣溪沙·云淡风高叶乱飞》
宁知傍淇水，騕褭黄金羁。|常建|《春词二首》
莫惜尊前仔细看，应是容颜老。|苏轼|《卜算子·感旧》
其马蹻蹻，其音昭昭。|佚名|《鲁颂·泮水》
常恐秋节至，焜黄华叶衰。|佚名|《长歌行》
不信请看弈棋者，输赢须待局终头。|白居易|《放言五首·其二》
梅花大庾岭头发，柳絮章台街里飞。|李商隐|《对雪二首》
老来疾病都是壮时招得；衰时罪孽都是盛时作得。||《菜根谭·概论》
小知不可使谋事，小忠不可使主法。||《韩非子·饰邪》
自谓颇挺出，立登要路津。|杜甫|《奉赠韦左丞丈二十二韵》
昨来补卫士，唯用筒竹布。|刘禹锡|《插田歌》
红蓼渡头秋正雨，印沙鸥迹自成行，整鬟飘袖野风香。|薛昭蕴|《浣溪沙·红蓼渡头秋正雨》
楚楚者茨，言抽其棘。|佚名|《楚茨》
草枯鹰眼疾，雪尽马蹄轻。|王维|《观猎》
黎儿愤勇决，挺身负戈矢。|钱嶫|《悯黎咏》
湖上春既早，田家日不闲。|丘为|《题农父庐舍》
二人同心，其利断金。同心之言，其臭如兰。||《易传·系辞传上·第八章》
今为羌笛出塞声，使我三军泪如雨。|李颀|《古意》
入蔡缚贼献太庙，功无与让恩不訾。|李商隐|《韩碑》
后来者，无二公之操，百炼之钢。|文天祥|《沁园春·题潮阳张许二公庙》
我醉欲眠卿且去，明朝有意抱琴来。|李白|《山中与幽人对酌》
庙堂无计可平戎，坐使甘泉照夕峰。|陈与义|《伤春》
月照城头乌半飞，霜凄万树风入衣。|李颀|《琴歌》
宜言饮酒，与子偕老。|佚名|《女曰鸡鸣》
冷雨青灯读书舍，怕离别又早离别。|姚燧|《普天乐·浙江秋》
半夜呼儿趁晓耕，羸牛无力渐艰行。|颜仁郁|《农家》
开荒南野际，守拙归园田。|陶渊明|《归园田居·其一》
世事悠悠浑未了，年光冉冉今如许。|吴潜|《满江红·送李御带珙》
晴川历历汉阳树，芳草萋萋鹦鹉洲。|崔颢|《黄鹤楼 / 登黄鹤楼》
阁道步行月，美人愁烟空。|李白|《上之回》
今来一登望，如上九天游。|李白|《登锦城散花楼》
芳根閟颜色，徂岁为谁荣。|柳宗元|《新植海石榴》
灯火万家城四畔，星河一道水中央。|白居易|《江楼夕望招客》
此情无计可消除，才下眉头，却上心头。|李清照|《一剪梅·红藕香残玉簟秋》
愿得此身长报国，何须生入玉门关。|戴叔伦|《塞上曲二首·其二》
女儿年几十五六，窈窕无双颜如玉。|萧衍|《东飞伯劳歌》
叹年光过尽，功名未立，书生老去，机会方来。|刘克庄|《沁园春·梦孚若》
古苔泪锁霜千点，苍华人共老。|吴文英|《花犯·谢黄复庵除夜寄古梅枝》
山际见来烟，竹中窥落日。|吴均|《山中杂诗》
今年何以报君恩，一路繁花相送过青墩。|陈与义|《虞美人·扁舟三日秋塘路》
应恨刘郎来又去。|苏轼|《减字木兰花·送别》
直至如今千载后，谁与争功！|王安石|《浪淘沙令·伊吕两衰翁》
重来故人不见，但依然、杨柳小楼东。|戴复古|《木兰花慢·莺啼啼不尽》
长绳百尺拽碑倒，粗砂大石相磨治。|李商隐|《韩碑》
临水整乌纱。两鬓苍华。故乡心事在天涯。|吴琚|《浪淘沙·岸柳可藏鸦》
日暮平沙秋草乱，一双白鸟避人飞。|袁宏道|《感事·湘山晴色远微微》
天时人事日相催，冬至阳生春又来。|杜甫|《小至》
涛澜汹涌，风云开阖。|苏辙|《黄州快哉亭记》
浩荡离愁白日斜，吟鞭东指即天涯。|龚自珍|《己亥杂诗·其五》
虎啸龙吟光世界，太平一统乐如何！|洪秀全|《吟剑》
当言而不言，尔之责也；言而不听，我之咎也。||《元史·列传·卷六》
盛年不重来，一日难再晨。|陶渊明|《杂诗·人生无根蒂》
世态便如翻覆雨，妾身元是分明月。|文天祥|《满江红·和王夫人满江红韵以庶几後山妾薄命之意》
生平未报国，留作忠魂补。|杨继盛|《就义诗》
桑柘外秋千女儿，髻双鸦斜插花枝。|卢挚|《蟾宫曲·寒食新野道中》
勍敌猛，戎马殷，横阵亘野若屯云。|何承天|《战城南》
绿树阴浓夏日长，楼台倒影入池塘。|高骈|《山亭夏日》
酒市渐闲灯火，正敲窗、乱叶舞纷纷。|孔夷|《南浦·旅怀》
仰天大笑出门去，我辈岂是蓬蒿人。|李白|《南陵别儿童入京》
坐看苍苔色，欲上人衣来。|王维|《书事》
君子求诸己，小人求诸人。||《论语·卫灵公篇》
对此间、风物岂无情，殷勤说。|苏轼|《满江红·寄鄂州朱使君寿昌》
山暝闻猿愁，沧江急夜流。|孟浩然|《宿桐庐江寄广陵旧游》
燕子来时新社，梨花落后清明。|晏殊|《破阵子·春景》
卧迟灯灭后，睡美雨声中。|白居易|《秋雨夜眠》
怨别自惊千里外，论交却忆十年时。|高适|《东平别前卫县李寀少府 / 送前卫县李宷少府》
金灶生烟埃，玉潭秘清谧。|李白|《望黄鹤楼》
曾伴浮云归晚翠，犹陪落日泛秋声。|高蟾|《金陵晚望》
呼儿烹鲤鱼，中有尺素书。|佚名|《饮马长城窟行》
二十余年如一梦，此身虽在堪惊。|陈与义|《临江仙·夜登小阁忆洛中旧游》
鹿门月照开烟树，忽到庞公栖隐处。|孟浩然|《夜归鹿门山歌 / 夜归鹿门歌》
叹一笑论文，清狂顾曲，此会几时又？|刘辰翁|《摸鱼儿·酒边留同年徐云屋》
风雨满城，何幸两重阳之近；|文天祥|《回董提举中秋请宴启》
岂弟君子，四方为纲。|佚名|《卷阿》
曲径穿花寻蛱蝶，虚阑傍日教鹦鹉。|岳珂|《满江红·小院深深》
晋室昔横溃，永嘉遂南奔。|李白|《登金陵冶城西北谢安墩》
窗含西岭千秋雪，门泊东吴万里船。|杜甫|《绝句》
芦叶有声疑雾雨，浪花无际似潇湘。|温庭筠|《南湖》
